symbol1,symbol2,p_value,correlation
DODOUSDT,QIUSDT,8.984391549853079e-15,0.9767740801642024
EURIUSDT,EURUSDT,9.215725240708732e-15,0.9999573042104285
BICOUSDT,GLMRUSDT,9.465733510841299e-15,0.9596406249094204
ICXUSDT,MLNUSDT,9.604420058922215e-15,0.9721217893157917
ATAUSDT,QTUMUSDT,9.639881027606258e-15,0.9501469452664318
FIOUSDT,RADUSDT,1.0134494820660484e-14,0.9643374579733635
ALPHAUSDT,RAREUSDT,1.068201283954276e-14,0.9725005358108467
RAREUSDT,SLPUSDT,1.1557413322701114e-14,0.9738355283172658
ALPHAUSDT,ATAUSDT,1.1995197364390198e-14,0.9568264682815912
DOTUSDT,RAREUSDT,1.306966231452413e-14,0.9628891123302772
BANDUSDT,PONDUSDT,1.4668127520933906e-14,0.9741009615078817
ILVUSDT,VOXELUSDT,1.5275135121576694e-14,0.9797097170735245
ADXUSDT,PUNDIXUSDT,1.7322961117742308e-14,0.9549708389607211
FIDAUSDT,QIUSDT,1.913105941830177e-14,0.9722859367612008
GRTUSDT,UMAUSDT,1.9296575675985498e-14,0.9577196138374866
ADXUSDT,CELRUSDT,1.9398425559296618e-14,0.9710956821111115
MLNUSDT,XTZUSDT,2.163457782721056e-14,0.9642137519535363
FIOUSDT,SXPUSDT,2.163839376560796e-14,0.9681342614519366
RAREUSDT,YGGUSDT,2.2981778910024553e-14,0.9583428442058042
BSWUSDT,LOKAUSDT,2.3002256020554056e-14,0.9514215074103521
ARDRUSDT,MINAUSDT,2.4062070890215695e-14,0.9611062204300254
ALPHAUSDT,FUNUSDT,2.441474816690956e-14,0.9611114613995381
SXPUSDT,TKOUSDT,2.5375827933085203e-14,0.9612217601712446
ADXUSDT,RVNUSDT,2.8244965591825656e-14,0.9513586359849451
DGBUSDT,FORTHUSDT,2.941750018332397e-14,0.9807177143769211
MOVRUSDT,YGGUSDT,2.9560651046306967e-14,0.9572941263921746
ATAUSDT,CHESSUSDT,3.0402718170988054e-14,0.9656996967273657
CHESSUSDT,FLOWUSDT,3.350577623954814e-14,0.962159489835101
AMPUSDT,YGGUSDT,3.372782031223085e-14,0.9804329526400786
BAKEUSDT,KMDUSDT,3.50884814004205e-14,0.958827978832771
BICOUSDT,VOXELUSDT,3.7890235916557245e-14,0.9644800132161108
CHESSUSDT,FLMUSDT,4.5233811968202666e-14,0.9545683970565702
ADXUSDT,ATAUSDT,4.65189800385028e-14,0.9590168699604757
ADXUSDT,BNTUSDT,4.696182431288845e-14,0.9650887016014172
AUDIOUSDT,BIFIUSDT,4.848508403763659e-14,0.9676231145875023
BTCUSDT,WBTCUSDT,4.924237251731651e-14,0.9999954025550146
SUSHIUSDT,VOXELUSDT,4.932917497195125e-14,0.9590837125708469
FORTHUSDT,KMDUSDT,5.189593024578789e-14,0.9546940262132835
AXSUSDT,KDAUSDT,5.5448592275890704e-14,0.9848807169927551
FORTHUSDT,NEOUSDT,5.5685149070776427e-14,0.969737721393593
AMPUSDT,GALAUSDT,5.764911501471563e-14,0.9793411756218814
ADXUSDT,ARDRUSDT,5.809848776389467e-14,0.9518928790774843
CTKUSDT,UTKUSDT,7.172494205971906e-14,0.9549675841311396
SKLUSDT,WANUSDT,7.653967530552485e-14,0.9540103529606192
AMPUSDT,MBOXUSDT,7.689872730508015e-14,0.9558421544234585
IOSTUSDT,XECUSDT,7.995566462949071e-14,0.9617589251931696
AVAUSDT,TKOUSDT,8.193492989454454e-14,0.9524023796882787
DODOUSDT,PONDUSDT,8.262834172025039e-14,0.9708726139965825
STRKUSDT,WLDUSDT,8.408013212976274e-14,0.9846019277556125
ADXUSDT,XECUSDT,8.446319876861e-14,0.9697961144377116
AVAUSDT,SKLUSDT,9.071874590718274e-14,0.9625315253670765
THETAUSDT,TKOUSDT,9.167765350110186e-14,0.9562062802901706
GALAUSDT,VOXELUSDT,9.694610855697474e-14,0.9749209748130884
ONTUSDT,WANUSDT,1.1089305337024915e-13,0.9806904886907198
DODOUSDT,FORTHUSDT,1.1722414285399967e-13,0.9723074176420218
FIOUSDT,OGNUSDT,1.2228339741104712e-13,0.950915374119727
ADXUSDT,SXPUSDT,1.2831107274664992e-13,0.9604549076281091
FIDAUSDT,VOXELUSDT,1.327717144140399e-13,0.963086289315572
PERPUSDT,RAREUSDT,1.4299668271131542e-13,0.9728882702762846
GTCUSDT,ILVUSDT,1.4558757854949628e-13,0.9527274850342904
ADXUSDT,MLNUSDT,1.8203623440801086e-13,0.9736319889360563
IOTAUSDT,MINAUSDT,1.9251107155845457e-13,0.9694234057935754
FIDAUSDT,RAREUSDT,2.0034682674662557e-13,0.9606831572301766
DODOUSDT,FISUSDT,2.0980434471836797e-13,0.9608939528609027
PONDUSDT,RSRUSDT,2.1637474162271154e-13,0.9701454752698162
ALGOUSDT,CHESSUSDT,2.2579288051953556e-13,0.9579778876391766
QIUSDT,YGGUSDT,2.280613665003791e-13,0.9773792997033269
C98USDT,CHESSUSDT,2.4315729820999974e-13,0.9679867914491803
DOTUSDT,ICXUSDT,2.449152214169569e-13,0.9742806633006201
AVAUSDT,PONDUSDT,2.45203192159259e-13,0.9683127274844026
AMPUSDT,ZENUSDT,2.459174133677194e-13,0.9621223863885586
SCRTUSDT,SPELLUSDT,2.5548883941997914e-13,0.9562841647120239
RADUSDT,VOXELUSDT,2.5718533838729613e-13,0.9670327879811934
1INCHUSDT,TKOUSDT,2.616504791970325e-13,0.9508756124524468
FISUSDT,GRTUSDT,2.7448682253146415e-13,0.9571126829480792
AUDIOUSDT,CVXUSDT,2.8094923823110023e-13,0.9765426893229857
ADXUSDT,CHESSUSDT,3.1798630950085997e-13,0.956375059482382
AUDIOUSDT,RADUSDT,3.1839601954405407e-13,0.9661379504920946
COMPUSDT,TKOUSDT,3.28589640611863e-13,0.9646243002396769
ALCXUSDT,TUSDT,3.336418858984341e-13,0.9708228088912313
ADXUSDT,AUDIOUSDT,3.4469335157822606e-13,0.9595619430322637
ACAUSDT,RAREUSDT,3.48006695326494e-13,0.9519908308384417
IOTAUSDT,VOXELUSDT,3.7154918436447824e-13,0.9601007090406901
BARUSDT,CAKEUSDT,3.8333349281137527e-13,0.9616598636612813
AVAUSDT,PUNDIXUSDT,3.974107608671351e-13,0.9519439423352768
FIOUSDT,PONDUSDT,3.975706004962351e-13,0.9676256769886948
ADXUSDT,KMDUSDT,4.331260381649194e-13,0.962920906983551
BSWUSDT,KAVAUSDT,4.4051059712141773e-13,0.9603776088100554
BAKEUSDT,RAREUSDT,4.644970906385781e-13,0.9664651558771413
MOVRUSDT,TLMUSDT,4.721815623258753e-13,0.9557922433722782
BNTUSDT,PONDUSDT,5.183263071873772e-13,0.9624235367423025
CHESSUSDT,WANUSDT,5.332481677843557e-13,0.9500500810317125
DIAUSDT,KMDUSDT,5.534187683930445e-13,0.952768156122303
QIUSDT,RADUSDT,5.66731852612163e-13,0.9589828170753338
AUDIOUSDT,C98USDT,5.950595964947771e-13,0.9670574507806203
ADXUSDT,TKOUSDT,5.960862265034627e-13,0.9732080359171691
KSMUSDT,RAREUSDT,6.522591180046317e-13,0.96066470827095
FIOUSDT,WANUSDT,7.045609527713418e-13,0.9605836162832586
FLMUSDT,RAREUSDT,7.239934698075416e-13,0.9543309889435629
BAKEUSDT,DGBUSDT,7.299825819506308e-13,0.9707087652450463
KSMUSDT,RADUSDT,8.454386081965241e-13,0.9680660182104329
RAREUSDT,VOXELUSDT,8.53500026776192e-13,0.9708434239819631
BATUSDT,ENJUSDT,8.549098010177163e-13,0.9725838302162224
EGLDUSDT,RADUSDT,8.549727474070641e-13,0.9512087935084095
ALGOUSDT,CELOUSDT,8.664529651845839e-13,0.9649635135313538
BOMEUSDT,PNUTUSDT,8.696840626317051e-13,0.9508268561749592
LRCUSDT,VOXELUSDT,8.762867257462136e-13,0.9716901716899086
BAKEUSDT,COMPUSDT,9.262516595993886e-13,0.953610416165003
PONDUSDT,THETAUSDT,9.843803881476254e-13,0.9595767908358659
KSMUSDT,MLNUSDT,1.0090963589229016e-12,0.9761668755601816
ACAUSDT,MBOXUSDT,1.0234935480399702e-12,0.9811639910655503
BANDUSDT,MLNUSDT,1.061085441162289e-12,0.9702776577014016
ALICEUSDT,CVXUSDT,1.0993614364033141e-12,0.9695846384427125
NKNUSDT,PIVXUSDT,1.1316267717758116e-12,0.950099975512409
CHESSUSDT,COMPUSDT,1.1931054032630592e-12,0.9551867050264711
DODOUSDT,RAREUSDT,1.1942088094964732e-12,0.9711894034393929
BNTUSDT,FIOUSDT,1.232073687992042e-12,0.9592424436180459
BICOUSDT,MBOXUSDT,1.2477718475951253e-12,0.961560732870108
ADXUSDT,BANDUSDT,1.259105892540337e-12,0.9657640049087267
ALPHAUSDT,BANDUSDT,1.3216421099599628e-12,0.9563587332119518
BICOUSDT,QIUSDT,1.3380445067173906e-12,0.9691758404484697
C98USDT,KDAUSDT,1.3623127872452773e-12,0.9748988459411977
BICOUSDT,TLMUSDT,1.3730284371329313e-12,0.9695811770626238
ALPHAUSDT,RADUSDT,1.4421823919953465e-12,0.9765174439288608
1000CATUSDT,VELODROMEUSDT,1.468940342012431e-12,0.9900967801322826
DOTUSDT,VOXELUSDT,1.6673018908061941e-12,0.960012569064142
ADXUSDT,CELOUSDT,1.723555649435711e-12,0.9672216835379549
DATAUSDT,MEUSDT,1.7354581386568566e-12,0.9589214892140473
FIOUSDT,IDEXUSDT,1.7738802307859228e-12,0.9542236822355803
ADXUSDT,COTIUSDT,1.8181928218421586e-12,0.9595570428465073
FISUSDT,RVNUSDT,1.911388114628349e-12,0.9602370695746477
BAKEUSDT,NEOUSDT,1.9438425156807915e-12,0.9656184424356073
BICOUSDT,YGGUSDT,2.060916538290011e-12,0.9610042067906852
ADXUSDT,ALPHAUSDT,2.07815657946057e-12,0.9636748078533198
SKLUSDT,XECUSDT,2.0903949146193938e-12,0.9631193376694387
PUNDIXUSDT,WANUSDT,2.166010923388597e-12,0.9714905244837426
FORTHUSDT,PHAUSDT,2.215802730515876e-12,0.9677731479891235
FISUSDT,PONDUSDT,2.293968974134222e-12,0.9514526814935957
FILUSDT,KMDUSDT,2.4967137909890853e-12,0.9519989608477574
FLOWUSDT,SXPUSDT,2.5554765936566976e-12,0.9690503054469255
FLOWUSDT,VOXELUSDT,2.6004521569467455e-12,0.9603385402378554
1INCHUSDT,RADUSDT,2.703573307561698e-12,0.9529141825653953
ICXUSDT,RAREUSDT,2.855642503732256e-12,0.975250425305228
ADXUSDT,TFUELUSDT,3.02987161807939e-12,0.9690624479937427
GALAUSDT,TUSDT,3.0728933235318026e-12,0.9769240340801932
FIDAUSDT,SCRTUSDT,3.083892100419453e-12,0.9719383971535885
QIUSDT,TLMUSDT,3.125997772334328e-12,0.9746036266278281
RADUSDT,RVNUSDT,3.275691774324744e-12,0.9558472835897593
ADXUSDT,GRTUSDT,3.3273801972927364e-12,0.9570720754552713
ALPHAUSDT,CVXUSDT,3.449549362013386e-12,0.9630511880988771
ARDRUSDT,CVCUSDT,3.5307877936673884e-12,0.9626860555710365
AUDIOUSDT,RAREUSDT,3.5427582332034946e-12,0.959053355989077
MLNUSDT,WANUSDT,3.6190732909512283e-12,0.9670325329230918
CVXUSDT,ICXUSDT,3.7902660687898066e-12,0.9572426919679096
FLOWUSDT,SCRTUSDT,3.8691092164530285e-12,0.9847757863442242
BICOUSDT,FILUSDT,4.783385430644193e-12,0.9582151838597537
FILUSDT,FIOUSDT,4.785200861924575e-12,0.9537578453405947
ALICEUSDT,BICOUSDT,4.87680026328064e-12,0.9616840760947538
CHESSUSDT,FIDAUSDT,5.178092485452602e-12,0.954693406670367
DASHUSDT,SXPUSDT,5.217340581625221e-12,0.9707705794206627
CVXUSDT,TLMUSDT,5.232534767579527e-12,0.9731184567672693
ADXUSDT,DGBUSDT,5.4754767491449826e-12,0.9604151653832579
AVAUSDT,XECUSDT,5.8268379220900936e-12,0.9551724220275337
CVXUSDT,GTCUSDT,5.953085598576681e-12,0.9605436144381343
AMPUSDT,RAREUSDT,5.991122501011452e-12,0.9653051599343327
ALPHAUSDT,UMAUSDT,6.022346899809316e-12,0.9550317223065954
DCRUSDT,FIOUSDT,6.113430132092652e-12,0.9639622442457932
BAKEUSDT,FILUSDT,6.168743655636799e-12,0.9552409677328985
1INCHUSDT,VOXELUSDT,6.485624622108633e-12,0.9663014145452391
FIOUSDT,VOXELUSDT,6.707249134422871e-12,0.9587267399195448
AVAUSDT,WANUSDT,6.8919907765650544e-12,0.9697412032514329
TKOUSDT,UNIUSDT,7.529850230181922e-12,0.9558955268838801
EGLDUSDT,ILVUSDT,8.162445378226106e-12,0.9675816071700034
DASHUSDT,TKOUSDT,8.403157210589392e-12,0.9600064725752058
ADXUSDT,IOTAUSDT,9.166928404737951e-12,0.9564964985732801
FIOUSDT,THETAUSDT,9.775202788610376e-12,0.9584878622881211
AXSUSDT,CVXUSDT,9.913190784919827e-12,0.9667450328037086
BELUSDT,PONDUSDT,1.0081803058653336e-11,0.9616760011474509
BATUSDT,GTCUSDT,1.0205215084936946e-11,0.958746751838968
ALPHAUSDT,PONDUSDT,1.0344502431966244e-11,0.9612035557268828
MOVRUSDT,RADUSDT,1.0600329868241409e-11,0.9539098460444253
CELRUSDT,CHESSUSDT,1.130001007577906e-11,0.9645172744775308
ADXUSDT,MEUSDT,1.1902602939455823e-11,0.9500609846307725
CHESSUSDT,QIUSDT,1.2531708642058483e-11,0.9695924643420963
BANDUSDT,FUNUSDT,1.2706739220658203e-11,0.9617328263062688
ALPHAUSDT,FISUSDT,1.2948927121992618e-11,0.9553898096277718
CVCUSDT,DOTUSDT,1.3748855997376808e-11,0.9530094013057581
CELOUSDT,MLNUSDT,1.3762801795626507e-11,0.9678055810286366
FILUSDT,QIUSDT,1.379028342460944e-11,0.9706684300847154
BATUSDT,WAXPUSDT,1.4010860230370895e-11,0.9585291378880835
VOXELUSDT,WINUSDT,1.4246737204027545e-11,0.9615588362243072
MLNUSDT,RAREUSDT,1.4563344217526152e-11,0.9726988381698576
FLMUSDT,RADUSDT,1.6930990508412624e-11,0.9609230461162283
RADUSDT,WANUSDT,1.714381404718307e-11,0.9640606120759369
AMPUSDT,FIOUSDT,1.7596806342883018e-11,0.9721858529536483
MEUSDT,OGNUSDT,1.8923474045990757e-11,0.9577087231711602
CVCUSDT,ICXUSDT,1.9037496877189007e-11,0.9553005778991066
ADXUSDT,WINUSDT,1.938205754445594e-11,0.9717686750507191
ACAUSDT,AXSUSDT,1.9470333139278274e-11,0.9741533182073691
ICXUSDT,RADUSDT,1.971977706715017e-11,0.9689938757802173
FIOUSDT,FLMUSDT,1.9730355928031892e-11,0.9624954723907405
DOTUSDT,RADUSDT,2.0012399439315636e-11,0.9527587126096599
DIAUSDT,RSRUSDT,2.0625818621584797e-11,0.9731091871352386
CVXUSDT,VOXELUSDT,2.1142856734639993e-11,0.9734828085178175
PERPUSDT,RADUSDT,2.129854532759038e-11,0.9608263513598746
FILUSDT,XECUSDT,2.1674042293633264e-11,0.9801331533753418
ACAUSDT,AUDIOUSDT,2.2774615894435522e-11,0.9592679220452387
C98USDT,CELOUSDT,2.3222732140658588e-11,0.9612179464751361
DIAUSDT,PONDUSDT,2.549113398803054e-11,0.9678647546711134
FILUSDT,FORTHUSDT,2.6100025349220394e-11,0.9742000904943181
FILUSDT,FLOWUSDT,2.7818789030032598e-11,0.9775131848633777
FUNUSDT,UMAUSDT,2.917205141408034e-11,0.9536284744053581
BICOUSDT,LRCUSDT,2.938263671377724e-11,0.9676884891170345
DCRUSDT,TKOUSDT,3.0960495145247924e-11,0.959899648735754
THEUSDT,YGGUSDT,3.1430555637368155e-11,0.954490594332692
BAKEUSDT,FORTHUSDT,3.230185841909677e-11,0.9689677202891487
ACAUSDT,TLMUSDT,3.4387306757088855e-11,0.9824269877291241
SCRTUSDT,VOXELUSDT,3.454617065983621e-11,0.9769207235149056
CVCUSDT,IOSTUSDT,3.641608084086184e-11,0.9516842231551068
AMPUSDT,VOXELUSDT,3.7109485981672614e-11,0.9697613472941402
ATAUSDT,RADUSDT,3.9077801306118916e-11,0.9676435191098477
FIOUSDT,ONTUSDT,3.9805277980271294e-11,0.9549542545711845
BNTUSDT,TKOUSDT,4.091921661023199e-11,0.9552781900434771
CVXUSDT,LRCUSDT,4.1154639226488944e-11,0.9523126461074671
1INCHUSDT,MLNUSDT,4.229290180479951e-11,0.9700783088747031
BANDUSDT,CHESSUSDT,4.2489551954954594e-11,0.9589420570498349
BARUSDT,COMPUSDT,4.6690439018264494e-11,0.9556988804078205
LUMIAUSDT,RADUSDT,4.815779558055851e-11,0.9735583963008378
FILUSDT,WANUSDT,4.8748153155143003e-11,0.9655502323485619
ILVUSDT,WAXPUSDT,4.965528618872178e-11,0.9613438929015081
MLNUSDT,ONGUSDT,5.135449997366132e-11,0.9512095503285377
WINUSDT,YGGUSDT,5.1673047186963145e-11,0.9709045464561858
ALPHAUSDT,BICOUSDT,5.5013502479512896e-11,0.9612158810252637
ALPHAUSDT,SUSHIUSDT,5.730978197404868e-11,0.9578206654374367
DODOUSDT,VOXELUSDT,5.85997116023233e-11,0.9616876897361751
DIAUSDT,PUNDIXUSDT,6.028648801247067e-11,0.9575017548661385
BANDUSDT,RAREUSDT,6.136993542932845e-11,0.9534499159400254
FIOUSDT,UTKUSDT,6.169890121211861e-11,0.9501111728872778
